Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
0.7641295785205519,0.25740606673028343,0.4047409538441017,0.21412429954003542,0.7803200532680311,0.732559977189205,0.4460708546159905
0.448860599835416,0.5587998385000057,0.2575154836105112,0.5584688789103489,0.3942578588698996,0.4655893936816201,0.7126748038957309
0.8115991086815993,0.2007068562729576,0.7982297964519395,0.25101818834980694,0.2157424549864569,0.5244208454917207,0.9404783386406379
0.850153284245429,0.15467856795679324,0.878200535373091,0.21754406674612725,0.16419806963551714,0.5344339490338904,0.8502222098290834
0.8427876521557558,0.19189239762849264,0.8439662563635176,0.24954754028371295,0.14860729495672884,0.5218920629683761,0.05928027474988884
0.5244534042768786,0.469842061075589,0.23289866582325874,0.5655912289414586,0.34412319518326745,0.7345869076730767,0.12447761548661496
0.7450778109098464,0.2845793010184684,0.9088913845974516,0.25275730723712364,0.26863025666124024,0.1668347649073602,0.8913467573665369
0.8554686374652093,0.14593700190748704,0.4662667779284289,0.1425417324202648,0.01378562209033669,0.19195514908367953,0.1629098618432855
0.5975234535765303,0.4188203536336256,0.36483580283389755,0.30591349383759825,0.32723055073118307,0.025609873003379798,0.25705444175429604
0.7808099009497687,0.21024040661210908,0.3528890012994921,0.21652103016642055,0.07912456919334633,0.4126188477277841,0.7922468149838547
0.5029206338297464,0.5007136184301784,0.15721901703678545,0.5498247135605436,0.6111811930217773,0.006455591710445183,0.49182180253740426
0.9364839726070077,0.07915526078522539,0.9495834738851604,0.02177324613480569,0.08411865980113602,0.5853135981836916,0.4640871404260698
0.5841983971811693,0.3851616355207197,0.2715153761053185,0.2892901954862165,0.3103125827223025,0.3841495550294695,0.18958422483722948
0.5029206338297464,0.5007136184301784,0.15721901703678545,0.5498247135605436,0.6111811930217773,0.006455591710445183,0.49182180253740426
0.7446664852064241,0.2481387953144768,0.2328182924091066,0.31222335384698763,0.09452150694866106,0.17764573764466254,0.4866305827915798
1.0,0.0,0.39480944168739696,0.04152674856378602,0.0,0.25261331828446376,0.9221141568013362
0.872410469314921,0.168002108158407,0.302188524602079,0.1730417233772925,0.11040804539858025,0.07439403144906394,0.01974322237861359
0.775424830771661,0.23802186476290488,0.2439390425403364,0.28928624541353654,0.07938340679425564,0.18559697210986462,0.4014009928295622
0.8257957963850008,0.17418704177222466,0.2607741869844466,0.24028868017631877,0.020829960981922014,0.20258216143987592,0.4559907141998917
0.8247012324692742,0.2297676707242966,0.2606194601022938,0.11653126482939513,0.3539924459194011,0.9976173898129574,0.8553745414089369
0.9491963638978533,0.09753235019953788,0.11150399147978071,0.12416468025735872,0.04483353836386974,0.858939166561475,0.5361215703354201
0.621261820560406,0.33250906039450256,0.16138405797054203,0.33303377617162966,0.431389236383151,0.25121770524820086,0.3000101875811598
